;dataset;model;metric;value;run
207;shapes3d;vlgcbm;avg_concept_auc;0.23461937014525253;2
208;shapes3d;vlgcbm;avg_concept_auc;0.23509745800766935;3
209;shapes3d;vlgcbm;avg_concept_auc;0.23725370682331198;4
210;shapes3d;vlgcbm;ois;0.15188734233379364;0
211;shapes3d;vlgcbm;ois;0.15188734233379364;1
212;shapes3d;vlgcbm;ois;0.15188734233379364;2
213;shapes3d;vlgcbm;ois;0.15188734233379364;3
214;shapes3d;vlgcbm;ois;0.15188734233379364;4
215;shapes3d;vlgcbm;disentanglement;0.2410666289207672;0
216;shapes3d;vlgcbm;disentanglement;0.2410666289207672;1
217;shapes3d;vlgcbm;disentanglement;0.2410666289207672;2
218;shapes3d;vlgcbm;disentanglement;0.2410666289207672;3
219;shapes3d;vlgcbm;disentanglement;0.2410666289207672;4
220;shapes3d;resnetcbm;leakage;0.350083303701243;0
221;shapes3d;resnetcbm;leakage;0.34589626945176416;1
222;shapes3d;resnetcbm;leakage;0.15944311615322515;2
223;shapes3d;resnetcbm;leakage;0.42147846524329907;3
224;shapes3d;resnetcbm;leakage;0.34293402520348687;4
225;shapes3d;resnetcbm;label_f1;1.0;0
226;shapes3d;resnetcbm;label_f1;1.0;1
227;shapes3d;resnetcbm;label_f1;0.9990374002001929;2
228;shapes3d;resnetcbm;label_f1;1.0;3
229;shapes3d;resnetcbm;label_f1;0.9993578767123288;4
230;shapes3d;resnetcbm;avg_concept_auc;0.9999533572097099;0
231;shapes3d;resnetcbm;avg_concept_auc;0.9999610436313359;1
232;shapes3d;resnetcbm;avg_concept_auc;0.9999958982310686;2
233;shapes3d;resnetcbm;avg_concept_auc;0.9999897257222004;3
234;shapes3d;resnetcbm;avg_concept_auc;0.999974503547199;4
235;shapes3d;resnetcbm;ois;0.06994897127151489;0
236;shapes3d;resnetcbm;ois;0.06890659779310226;1
237;shapes3d;resnetcbm;ois;0.08192270994186401;2
238;shapes3d;resnetcbm;ois;0.07241327315568924;3
239;shapes3d;resnetcbm;ois;0.06907442957162857;4
240;shapes3d;resnetcbm;disentanglement;0.9990137109694701;0
241;shapes3d;resnetcbm;disentanglement;0.998605890096332;1
242;shapes3d;resnetcbm;disentanglement;0.9982885457318357;2
243;shapes3d;resnetcbm;disentanglement;0.9987641796283634;3
244;shapes3d;resnetcbm;disentanglement;0.999267883244403;4
245;cub;labo;leakage;0.017175366305730563;0
246;cub;labo;leakage;0.017175366305730563;1
247;cub;labo;leakage;0.017175366305730563;2
248;cub;labo;leakage;0.017175366305730563;3
249;cub;labo;leakage;0.017175366305730563;4
250;cub;labo;label_f1;0.0011612783479494197;0
251;cub;labo;label_f1;0.000861422586654537;1
252;cub;labo;label_f1;0.0009793075769079485;2
253;cub;labo;label_f1;0.0011254914661575504;3
254;cub;labo;label_f1;0.001128255605625942;4
255;cub;labo;avg_concept_auc;0.36257497679836986;0
256;cub;labo;avg_concept_auc;0.36558625164129754;1
257;cub;labo;avg_concept_auc;0.3673904855552326;2
258;cub;labo;avg_concept_auc;0.3603384274314581;3
259;cub;labo;avg_concept_auc;0.3659652270327599;4
260;cub;labo;ois;0.1467171460390091;0
261;cub;labo;ois;0.1467171460390091;1
262;cub;labo;ois;0.1467171460390091;2
263;cub;labo;ois;0.1467171460390091;3
264;cub;labo;ois;0.1467171460390091;4
265;cub;labo;disentanglement;0.20309237995865193;0
266;cub;labo;disentanglement;0.20309237995865193;1
267;cub;labo;disentanglement;0.20309237995865193;2
268;cub;labo;disentanglement;0.20309237995865193;3
269;cub;labo;disentanglement;0.20309237995865193;4
270;cub;lfcbm;leakage;0.1091460931112015;0
271;cub;lfcbm;leakage;0.10733057521171073;1
272;cub;lfcbm;leakage;0.11592890660128229;2
273;cub;lfcbm;leakage;0.10612819357595644;3
274;cub;lfcbm;leakage;0.1158565582743652;4
275;cub;lfcbm;label_f1;0.672095267240069;0
276;cub;lfcbm;label_f1;0.6771265339359362;1
277;cub;lfcbm;label_f1;0.6775408690713419;2
278;cub;lfcbm;label_f1;0.671085372656255;3
279;cub;lfcbm;label_f1;0.6730497607278696;4
280;cub;lfcbm;avg_concept_auc;0.25354144701627174;0
281;cub;lfcbm;avg_concept_auc;0.25913868231321285;1
282;cub;lfcbm;avg_concept_auc;0.2550940185987822;2
283;cub;lfcbm;avg_concept_auc;0.25498228756738794;3
284;cub;lfcbm;avg_concept_auc;0.2528573489991924;4
285;cub;lfcbm;ois;0.16251350939273834;0
286;cub;lfcbm;ois;0.16375017166137695;1
287;cub;lfcbm;ois;0.16269102692604065;2
288;cub;lfcbm;ois;0.16314353048801422;3
289;cub;lfcbm;ois;0.16313709318637848;4
290;cub;lfcbm;disentanglement;0.1870157552900503;0
291;cub;lfcbm;disentanglement;0.1914816489078598;1
292;cub;lfcbm;disentanglement;0.18387781946608028;2
293;cub;lfcbm;disentanglement;0.18709148113120444;3
294;cub;lfcbm;disentanglement;0.1850726023901793;4
295;cub;oracle;leakage;0.0705072143893155;0
296;cub;oracle;leakage;0.06415802901545856;1
297;cub;oracle;leakage;0.08761497162556373;2
298;cub;oracle;leakage;0.0778003292000286;3
299;cub;oracle;leakage;0.0977318859526877;4
300;cub;oracle;label_f1;0.6241835382684977;0
301;cub;oracle;label_f1;0.6227281234263297;1
302;cub;oracle;label_f1;0.6219572867891734;2
303;cub;oracle;label_f1;0.6212206699500454;3
304;cub;oracle;label_f1;0.6314429572029282;4
305;cub;oracle;avg_concept_auc;0.4129392582957404;0
306;cub;oracle;avg_concept_auc;0.4247613483385435;1
307;cub;oracle;avg_concept_auc;0.37614809671964594;2
308;cub;oracle;avg_concept_auc;0.3974493484614718;3
309;cub;oracle;avg_concept_auc;0.3419796724079126;4
310;cub;oracle;ois;0.14441895484924316;0
311;cub;oracle;ois;0.1440654993057251;1
312;cub;oracle;ois;0.14874204993247986;2
313;cub;oracle;ois;0.1466023176908493;3
314;cub;oracle;ois;0.15203224122524261;4
315;cub;oracle;disentanglement;0.2525149213124224;0
316;cub;oracle;disentanglement;0.2624323511190241;1
317;cub;oracle;disentanglement;0.22856212272251258;2
318;cub;oracle;disentanglement;0.24396129032315023;3
319;cub;oracle;disentanglement;0.21001631352420205;4
320;cub;vlgcbm;leakage;0.05841754727021305;0
321;cub;vlgcbm;leakage;0.05777985430265947;1
322;cub;vlgcbm;leakage;0.058202237381767295;2
323;cub;vlgcbm;leakage;0.05924716532187278;3
324;cub;vlgcbm;leakage;0.05963028521908206;4
325;cub;vlgcbm;label_f1;0.5995430984469643;0
326;cub;vlgcbm;label_f1;0.599571836720737;1
327;cub;vlgcbm;label_f1;0.5989318509853454;2
328;cub;vlgcbm;label_f1;0.5983344846978391;3
329;cub;vlgcbm;label_f1;0.5982957191762264;4
330;cub;vlgcbm;avg_concept_auc;0.7866466556186321;0
331;cub;vlgcbm;avg_concept_auc;0.7968487833830232;1
332;cub;vlgcbm;avg_concept_auc;0.7904684086146785;2
333;cub;vlgcbm;avg_concept_auc;0.7905939358126265;3
334;cub;vlgcbm;avg_concept_auc;0.7881702699169645;4
335;cub;vlgcbm;ois;0.09996963292360306;0
336;cub;vlgcbm;ois;0.09980496019124985;1
337;cub;vlgcbm;ois;0.0997384786605835;2
338;cub;vlgcbm;ois;0.0997401624917984;3
339;cub;vlgcbm;ois;0.09914243966341019;4
340;cub;vlgcbm;disentanglement;0.6101587557886665;0
341;cub;vlgcbm;disentanglement;0.6095901322354964;1
342;cub;vlgcbm;disentanglement;0.6099766742073589;2
343;cub;vlgcbm;disentanglement;0.6098151143069339;3
344;cub;vlgcbm;disentanglement;0.6096137910264956;4
345;cub;resnetcbm;leakage;0.2384248298242318;0
346;cub;resnetcbm;leakage;0.24416309389267724;1
347;cub;resnetcbm;leakage;0.23950049427879957;2
348;cub;resnetcbm;leakage;0.23694390620881584;3
349;cub;resnetcbm;leakage;0.241598580797648;4
350;cub;resnetcbm;label_f1;0.6924504632186599;0
351;cub;resnetcbm;label_f1;0.6864544798461247;1
352;cub;resnetcbm;label_f1;0.6864036560851097;2
353;cub;resnetcbm;label_f1;0.685863356482383;3
354;cub;resnetcbm;label_f1;0.6820891498409024;4
355;cub;resnetcbm;avg_concept_auc;0.8972271909222782;0
356;cub;resnetcbm;avg_concept_auc;0.9032589020383248;1
357;cub;resnetcbm;avg_concept_auc;0.9010606222505553;2
358;cub;resnetcbm;avg_concept_auc;0.8980610169100232;3
359;cub;resnetcbm;avg_concept_auc;0.8991736477646574;4
360;cub;resnetcbm;ois;0.09338097274303436;0
361;cub;resnetcbm;ois;0.09198808670043945;1
362;cub;resnetcbm;ois;0.09006769955158234;2
363;cub;resnetcbm;ois;0.0926799327135086;3
364;cub;resnetcbm;ois;0.09317444264888763;4
365;cub;resnetcbm;disentanglement;0.751891816236788;0
366;cub;resnetcbm;disentanglement;0.7455933383653771;1
367;cub;resnetcbm;disentanglement;0.7516770827186093;2
368;cub;resnetcbm;disentanglement;0.747837751330414;3
369;cub;resnetcbm;disentanglement;0.7495423806965995;4
