;dataset;model;metric;value;run
179;celeba;oracle;label_f1;0.6780776102481709;4
180;celeba;oracle;avg_concept_auc;0.5089477817706438;0
181;celeba;oracle;avg_concept_auc;0.5068758691720767;1
182;celeba;oracle;avg_concept_auc;0.5108136888995742;2
183;celeba;oracle;avg_concept_auc;0.5081413708114274;3
184;celeba;oracle;avg_concept_auc;0.5077623147349208;4
185;celeba;oracle;ois;0.15363003313541412;0
186;celeba;oracle;ois;0.1522344946861267;1
187;celeba;oracle;ois;0.15096917748451233;2
188;celeba;oracle;ois;0.15248413383960724;3
189;celeba;oracle;ois;0.15056535601615906;4
190;celeba;oracle;disentanglement;0.3717809272529358;0
191;celeba;oracle;disentanglement;0.37851180544601615;1
192;celeba;oracle;disentanglement;0.37597443442456835;2
193;celeba;oracle;disentanglement;0.369163884694038;3
194;celeba;oracle;disentanglement;0.37391605993194477;4
195;celeba;vlgcbm;leakage;0.9438195922221939;0
196;celeba;vlgcbm;leakage;0.9438195922221939;1
197;celeba;vlgcbm;leakage;0.9438195922221939;2
198;celeba;vlgcbm;leakage;0.9438195922221939;3
199;celeba;vlgcbm;leakage;0.9438195922221939;4
200;celeba;vlgcbm;label_f1;0.9835566187879072;0
201;celeba;vlgcbm;label_f1;0.9835566187879072;1
202;celeba;vlgcbm;label_f1;0.9835566187879072;2
203;celeba;vlgcbm;label_f1;0.9835566187879072;3
204;celeba;vlgcbm;label_f1;0.9835566187879072;4
205;celeba;vlgcbm;avg_concept_auc;0.3180914904373653;0
206;celeba;vlgcbm;avg_concept_auc;0.3181705020748214;1
207;celeba;vlgcbm;avg_concept_auc;0.31806283528636226;2
208;celeba;vlgcbm;avg_concept_auc;0.31764500086441483;3
209;celeba;vlgcbm;avg_concept_auc;0.3252494005214393;4
210;celeba;vlgcbm;ois;0.1982956826686859;0
211;celeba;vlgcbm;ois;0.1982956826686859;1
212;celeba;vlgcbm;ois;0.1982956826686859;2
213;celeba;vlgcbm;ois;0.1982956826686859;3
214;celeba;vlgcbm;ois;0.1982956826686859;4
215;celeba;vlgcbm;disentanglement;0.21503337395298036;0
216;celeba;vlgcbm;disentanglement;0.21503337395298036;1
217;celeba;vlgcbm;disentanglement;0.21503337395298036;2
218;celeba;vlgcbm;disentanglement;0.21503337395298036;3
219;celeba;vlgcbm;disentanglement;0.21503337395298036;4
220;celeba;resnetcbm;leakage;0.499847178525199;0
221;celeba;resnetcbm;leakage;0.5130580417950923;1
222;celeba;resnetcbm;leakage;0.4984655877878001;2
223;celeba;resnetcbm;leakage;0.5199539678975481;3
224;celeba;resnetcbm;leakage;0.5049533593797392;4
225;celeba;resnetcbm;label_f1;0.9570794041773294;0
226;celeba;resnetcbm;label_f1;0.9642471179421517;1
227;celeba;resnetcbm;label_f1;0.963952229486102;2
228;celeba;resnetcbm;label_f1;0.9576509800818506;3
229;celeba;resnetcbm;label_f1;0.9403009804385902;4
230;celeba;resnetcbm;avg_concept_auc;0.7446594081413246;0
231;celeba;resnetcbm;avg_concept_auc;0.7424245202765255;1
232;celeba;resnetcbm;avg_concept_auc;0.7485944552453672;2
233;celeba;resnetcbm;avg_concept_auc;0.7415427319116762;3
234;celeba;resnetcbm;avg_concept_auc;0.7470066375435394;4
235;celeba;resnetcbm;ois;0.12251610308885574;0
236;celeba;resnetcbm;ois;0.1251634657382965;1
237;celeba;resnetcbm;ois;0.1262798309326172;2
238;celeba;resnetcbm;ois;0.12748490273952484;3
239;celeba;resnetcbm;ois;0.12414756417274475;4
240;celeba;resnetcbm;disentanglement;0.7478507019673986;0
241;celeba;resnetcbm;disentanglement;0.7472614372664771;1
242;celeba;resnetcbm;disentanglement;0.7468010997135105;2
