;dataset;model;metric;value;run
281;shapes3d;labo;ois;0.15156018733978271;1
282;shapes3d;labo;ois;0.15156018733978271;2
283;shapes3d;labo;ois;0.15156018733978271;3
284;shapes3d;labo;ois;0.15156018733978271;4
285;shapes3d;labo;ois;0.15156018733978271;5
286;shapes3d;labo;ois;0.15156018733978271;6
287;shapes3d;labo;ois;0.15156018733978271;7
288;shapes3d;labo;ois;0.15156018733978271;8
289;shapes3d;labo;ois;0.15156018733978271;9
290;shapes3d;labo;disentanglement;0.28117010759635197;0
291;shapes3d;labo;disentanglement;0.28117010759635197;1
292;shapes3d;labo;disentanglement;0.28117010759635197;2
293;shapes3d;labo;disentanglement;0.28117010759635197;3
294;shapes3d;labo;disentanglement;0.28117010759635197;4
295;shapes3d;labo;disentanglement;0.28117010759635197;5
296;shapes3d;labo;disentanglement;0.28117010759635197;6
297;shapes3d;labo;disentanglement;0.28117010759635197;7
298;shapes3d;labo;disentanglement;0.28117010759635197;8
299;shapes3d;labo;disentanglement;0.28117010759635197;9
300;shapes3d;lfcbm;leakage;0.7328102387923981;0
301;shapes3d;lfcbm;leakage;0.7376823852363791;1
302;shapes3d;lfcbm;leakage;0.710439560872254;2
303;shapes3d;lfcbm;leakage;0.7141998006132668;3
304;shapes3d;lfcbm;leakage;0.707130619481653;4
305;shapes3d;lfcbm;leakage;0.7163069967037506;5
306;shapes3d;lfcbm;leakage;0.7249378968275175;6
307;shapes3d;lfcbm;leakage;0.7165528555580843;7
308;shapes3d;lfcbm;leakage;0.708128881922484;8
309;shapes3d;lfcbm;leakage;0.7370877188264159;9
310;shapes3d;lfcbm;label_f1;0.9598570295389559;0
311;shapes3d;lfcbm;label_f1;0.96128152589705;1
312;shapes3d;lfcbm;label_f1;0.9605701747124513;2
313;shapes3d;lfcbm;label_f1;0.9584253293027115;3
314;shapes3d;lfcbm;label_f1;0.9619910900284441;4
315;shapes3d;lfcbm;label_f1;0.9606196716388798;5
316;shapes3d;lfcbm;label_f1;0.9599074885731649;6
317;shapes3d;lfcbm;label_f1;0.9606690409859551;7
318;shapes3d;lfcbm;label_f1;0.9611351525071563;8
319;shapes3d;lfcbm;label_f1;0.9637118845029777;9
320;shapes3d;lfcbm;avg_concept_auc;0.30545590132366024;0
321;shapes3d;lfcbm;avg_concept_auc;0.3054541178665991;1
322;shapes3d;lfcbm;avg_concept_auc;0.3056597936464102;2
323;shapes3d;lfcbm;avg_concept_auc;0.30526424083176373;3
324;shapes3d;lfcbm;avg_concept_auc;0.3036130612876332;4
325;shapes3d;lfcbm;avg_concept_auc;0.30591490893393647;5
326;shapes3d;lfcbm;avg_concept_auc;0.3059677667521213;6
327;shapes3d;lfcbm;avg_concept_auc;0.30448660279037854;7
328;shapes3d;lfcbm;avg_concept_auc;0.3065570185131069;8
329;shapes3d;lfcbm;avg_concept_auc;0.3058262086044709;9
330;shapes3d;lfcbm;ois;0.15194346010684967;0
331;shapes3d;lfcbm;ois;0.15214145183563232;1
332;shapes3d;lfcbm;ois;0.15286143124103546;2
333;shapes3d;lfcbm;ois;0.15207421779632568;3
334;shapes3d;lfcbm;ois;0.15201087296009064;4
335;shapes3d;lfcbm;ois;0.15210339426994324;5
336;shapes3d;lfcbm;ois;0.15144146978855133;6
337;shapes3d;lfcbm;ois;0.15221892297267914;7
338;shapes3d;lfcbm;ois;0.15126970410346985;8
339;shapes3d;lfcbm;ois;0.15205112099647522;9
340;shapes3d;lfcbm;disentanglement;0.28040469814528424;0
341;shapes3d;lfcbm;disentanglement;0.27902225437903716;1
342;shapes3d;lfcbm;disentanglement;0.27950759582071094;2
343;shapes3d;lfcbm;disentanglement;0.27818463454645437;3
344;shapes3d;lfcbm;disentanglement;0.27897359272112615;4
